Model,Accuracy,Precision,Recall,F1-Score
Logistic_Regression,0.837704492339652,0.8384624520103885,0.837704492339652,0.8355517019117198
Decision_Tree,0.9504024928589977,0.9510484559754894,0.9504024928589977,0.9506027677055977
SVM,0.9270319397559076,0.9281623789111877,0.9270319397559076,0.9273522308385472
Random_Forest,0.9774084653336795,0.9776771952919979,0.9774084653336795,0.9774725204518048
XGBoost,0.9831212672033238,0.9832545689877239,0.9831212672033238,0.983141037372034
