Model,Accuracy,Precision,Recall,F1-Score
Logistic_Regression,0.837704492339652,0.8384624520103885,0.837704492339652,0.8355517019117198
Decision_Tree,0.9522202025447936,0.9527348858327113,0.9522202025447936,0.9523723630892046
SVM,0.9270319397559076,0.9281623789111877,0.9270319397559076,0.9273522308385472
Random_Forest,0.9776681381459361,0.9778859326115366,0.9776681381459361,0.9777033323636803
XGBoost,0.9831212672033238,0.9832545689877239,0.9831212672033238,0.983141037372034
