Model,Accuracy,Precision,Recall,F1-Score
Logistic_Regression,0.837704492339652,0.8384624520103885,0.837704492339652,0.8355517019117198
Decision_Tree,0.9532588937938198,0.9536765666860786,0.9532588937938198,0.9533807735741209
SVM,0.9270319397559076,0.9281623789111877,0.9270319397559076,0.9273522308385472
Random_Forest,0.9784471565827058,0.9786594034586287,0.9784471565827058,0.9784998619868798
XGBoost,0.9831212672033238,0.9832545689877239,0.9831212672033238,0.983141037372034
