Model,Accuracy,Precision,Recall,F1-Score
Logistic_Regression,0.837704492339652,0.8384624520103885,0.837704492339652,0.8355517019117198
Decision_Tree,0.9548169306673592,0.9553267068704058,0.9548169306673592,0.9549492802706322
SVM,0.9270319397559076,0.9281623789111877,0.9270319397559076,0.9273522308385472
Random_Forest,0.9761101012723968,0.976239076664202,0.9761101012723968,0.9761186412630417
XGBoost,0.9831212672033238,0.9832545689877239,0.9831212672033238,0.983141037372034
